['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['little mouse venture'],"` You , little Mouse , can not venture everywhere in case you run at last into a trap . '",,
['pot fat bought'],"This good counsel was followed , and a little pot of fat was bought .",,
['long consultation cat'],"At length , after long consultation , the Cat said , ' I know of no place where it could be better put than in the church .",,
['touch till want'],"We will hide it in a corner , and we wo n't touch it till we are in want . '",,
['little mouse cousin'],"So the little pot was placed in safety ; but it was not long before the Cat had a great longing for it , and said to the Mouse , ' I wanted to tell you , little Mouse , that my cousin has a little son , white with brown spots , and she wants me to be godmother to it .",,
['let day care'],"Let me go out to-day , and do you take care of the house alone . '",,
['red christening wine'],"` Yes , go certainly , ' replied the Mouse , ` and when you eat anything good , think of me ; I should very much like a drop of the red christening wine . '",,
['cat cousin asked'],"The Cat had no cousin , and had not been asked to be godmother .",,
['began lick licked'],"She went straight to the church , slunk to the little pot of fat , began to lick it , and licked the top off .",,
['stretched sun licked'],"Then she took a walk on the roofs of the town , looked at the view , stretched herself out in the sun , and licked her lips whenever she thought of the little pot of fat .",,
['evening went home'],As soon as it was evening she went home again .,,
['mouse certainly enjoyable'],"` Ah , here you are again ! 'said the Mouse ; ` you must certainly have had an enjoyable day . '",,
['went answered cat'],"` It went off very well , ' answered the Cat .",,
['child asked mouse'],` What was the child 's name ? 'asked the Mouse .,,
['said cat drily'],"` Top Off , ' said the Cat drily .",,
['topoff echoed mouse'],"` Topoff ! 'echoed the Mouse , ` it is indeed a wonderful and curious name .",,
['odd said cat'],` What is there odd about it ? 'said the Cat .,,
['worse breadthief godchild'],"` It is not worse than Breadthief , as your godchild is called . '",,
['longing came cat'],Not long after this another great longing came over the Cat .,,
['said mouse kind'],"She said to the Mouse , ` You must again be kind enough to look after the house alone , for I have been asked a second time to stand godmother , and as this child has a white ring round its neck , I can not refuse . '",,
['cat slunk town'],"The kind Mouse agreed , but the Cat slunk under the town wall to the church , and ate up half of the pot of fat .",,
['pleased day work'],"` Nothing tastes better , ' said she , ` than what one eats by oneself , ' and she was very much pleased with her day 's work .",,
['mouse asked child'],"When she came home the Mouse asked , ` What was this child called ? '",,
['gone answered cat'],"` Half Gone , ' answered the Cat .",,
['began water licking'],Soon the Cat 's mouth began to water once more after her licking business .,,
['mouse stand godmother'],"` All good things in threes , ' she said to the Mouse ; ' I have again to stand godmother .",,
['black white paws'],"The child is quite black , and has very white paws , but not a single white hair on its body .",,
['happens years let'],"This only happens once in two years , so you will let me go out ? '",,
['repeated mouse curious'],"Halfgone ! 'repeated the Mouse , ` they are such curious names ; they make me very thoughtful . '",,
['said cat fanciful'],"` Oh , you sit at home in your dark grey coat and your long tail , ' said the Cat , ` and you get fanciful .",,
['comes going day'],That comes of not going out in the day . ',,
['tidy greedy cat'],"The Mouse had a good cleaning out while the Cat was gone , and made the house tidy ; but the greedy Cat ate the fat every bit up .",,
['rest said night'],"` When it is all gone one can be at rest , ' she said to herself , and at night she came home sleek and satisfied .",,
['mouse asked child'],The Mouse asked at once after the third child 's name .,,
['cat called clean'],"` It wo n't please you any better , ' said the Cat , ` he was called Clean Gone . '",,
['cleangone repeated mouse'],` Cleangone ! 'repeated the Mouse . ',,
['curled went sleep'],"She shook her head , curled herself up , and went to sleep .",,
['cat pot fat'],"From this time on no one asked the Cat to stand godmother ; but when the winter came and there was nothing to be got outside , the Mouse remembered their provision and said , ` Come , Cat , we will go to our pot of fat which we have stored away ; it will taste very good . '",,
['answered cat taste'],"` Yes , indeed , ' answered the Cat ; ` it will taste as good to you as if you stretched your thin tongue out of the window . '",,
['started reached pot'],"They started off , and when they reached it they found the pot in its place , but quite empty !",,
['mouse know happened'],"` Ah , ' said the Mouse , ' ` now I know what has happened !",,
['quiet screamed cat'],"You have eaten it all when you stood godmother ; first the top off , then half of it gone , then -- ' ` Will you be quiet ! 'screamed the Cat .",,
['gone poor mouse'],"` Clean-gone ' was already on the poor Mouse 's tongue , and scarcely was it out than the Cat made a spring at her , seized and swallowed her .",,
['saw quite lost'],"When evening came on he stood still and looked round him , and he saw that he had quite lost himself .",,
['head coming witch'],Then he saw an old woman with a shaking head coming towards him ; but she was a witch .,,
['said way wood'],"` Good woman , ' he said to her , ` can you not show me the way out of the wood ? '",,
['wood die hunger'],"` Oh , certainly , Sir King , ' she replied , ' I can quite well do that , but on one condition , which if you do not fulfil you will never get out of the wood , and will die of hunger . '",,
['condition asked king'],` What is the condition ? 'asked the King . ',,
['wife make lady'],"I have a daughter , ' said the old woman , ` who is so beautiful that she has not her equal in the world , and is well fitted to be your wife ; if you will make her lady-queen I will show you the way out of the wood . '",,
['consented old woman'],"The King in his anguish of mind consented , and the old woman led him to her little house where her daughter was sitting by the fire .",,
['secret feeling horror'],"She received the King as if she were expecting him , and he saw that she was certainly very beautiful ; but she did not please him , and he could not look at her without a secret feeling of horror .",,
['reached palace wedding'],"As soon as he had lifted the maiden on to his horse the old woman showed him the way , and the King reached his palace , where the wedding was celebrated .",,
['married wife seven'],"The King had already been married once , and had by his first wife seven children , six boys and one girl , whom he loved more than anything in the world .",,
['afraid stepmother treat'],"And now , because he was afraid that their stepmother might not treat them well and might do them harm , he put them in a lonely castle that stood in the middle of a wood .",,
['reel thread possessed'],"It lay so hidden , and the way to it was so hard to find , that he himself could not have found it out had not a wise-woman given him a reel of thread which possessed a marvellous property : when he threw it before him it unwound itself and showed him the way .",,
['children queen offended'],But the King went so often to his dear children that the Queen was offended at his absence .,,
['know quite wood'],"She grew curious , and wanted to know what he had to do quite alone in the wood .",,
['money betrayed secret'],"She gave his servants a great deal of money , and they betrayed the secret to her , and also told her of the reel which alone could point out the way .",,
['mother sewed enchantment'],"She had no rest now till she had found out where the King guarded the reel , and then she made some little white shirts , and , as she had learnt from her witch-mother , sewed an enchantment in each of them .",,
['went wood reel'],"And when the King had ridden off she took the little shirts and went into the wood , and the reel showed her the way .",,
['dear father coming'],"The children , who saw someone coming in the distance , thought it was their dear father coming to them , and sprang to meet him very joyfully .",,
['swans flew away'],"Then she threw over each one a little shirt , which when it had touched their bodies changed them into swans , and they flew away over the forest .",,
['queen went home'],"The Queen went home quite satisfied , and thought she had got rid of her step-children ; but the girl had not run to meet her with her brothers , and she knew nothing of her .",,
['king came visit'],"The next day the King came to visit his children , but he found no one but the girl .",,
['brothers asked king'],` Where are your brothers ? 'asked the King .,,
['father answered gone'],"` Alas !dear father , ' she answered , ` they have gone away and left me all alone . '",,
['swans showed feathers'],"And she told him that looking out of her little window she had seen her brothers flying over the wood in the shape of swans , and she showed him the feathers which they had let fall in the yard , and which she had collected .",,
['afraid maiden taken'],"The King mourned , but he did not think that the Queen had done the wicked deed , and as he was afraid the maiden would also be taken from him , he wanted to take her with him .",,
['afraid stepmother begged'],"But she was afraid of the stepmother , and begged the King to let her stay just one night more in the castle in the wood .",,
['longer seek brothers'],"The poor maiden thought , ` My home is no longer here ; I will go and seek my brothers . '",,
['fled away forest'],And when night came she fled away into the forest .,,
['night day till'],"She ran all through the night and the next day , till she could go no farther for weariness .",,
['hut went room'],"Then she saw a little hut , went in , and found a room with six little beds .",,
['crept lay hard'],"She was afraid to lie down on one , so she crept under one of them , lay on the hard floor , and was going to spend the night there .",,
['noise saw swans'],"But when the sun had set she heard a noise , and saw six swans flying in at the window .",,
['blew feathers swan'],"They stood on the floor and blew at one another , and blew all their feathers off , and their swan-skin came off like a shirt .",,
['overjoyed crept bed'],"Then the maiden recognised her brothers , and overjoyed she crept out from under the bed .",,
['brothers delighted little'],"Her brothers were not less delighted than she to see their little sister again , but their joy did not last long .",,
['robbers come kill'],` This is a den of robbers ; if they were to come here and find you they would kill you . ',,
['asked little sister'],` Could you not protect me ? 'asked the little sister .,,
['aside swan skins'],"` No , ' they answered , ` for we can only lay aside our swan skins for a quarter of an hour every evening .",,
['forms changed swans'],"For this time we regain our human forms , but then we are changed into swans again . '",,
['sister cried said'],"Then the little sister cried and said , ` Can you not be freed ? '",,
['said conditions hard'],"` Oh , no , ' they said , ` the conditions are too hard .",,
['shirts star flowers'],"You must not speak or laugh for six years , and must make in that time six shirts for us out of star-flowers .",,
['mouth labour vain'],"If a single word comes out of your mouth , all your labour is vain . '",,
['flew away window'],"And when the brothers had said this the quarter of an hour came to an end , and they flew away out of the window as swans .",,
['brothers cost life'],But the maiden had determined to free her brothers even if it should cost her her life .,,
['hut went forest'],"She left the hut , went into the forest , climbed a tree , and spent the night there .",,
['flowers began sew'],"The next morning she went out , collected star-flowers , and began to sew .",,
['sat looking work'],"She could speak to no one , and she had no wish to laugh , so she sat there , looking only at her work .",,
['forest hunters came'],"When she had lived there some time , it happened that the King of the country was hunting in the forest , and his hunters came to the tree on which the maiden sat .",,
['come said harm'],"` Come down to us , ' they said , ` we will do you no harm . '",,
['shook head silently'],But she shook her head silently .,,
['golden chain neck'],"As they pressed her further with questions , she threw them the golden chain from her neck .",,
['girdle use garters'],"But they did not leave off , and she threw them her girdle , and when this was no use , her garters , and then her dress .",,
['huntsmen leave climbed'],"The huntsmen would not leave her alone , but climbed the tree , lifted the maiden down , and led her to the King .",,
['remained dumb fish'],"He asked her in all the languages he knew , but she remained as dumb as a fish .",,
['seized great love'],"Because she was so beautiful , however , the King 's heart was touched , and he was seized with a great love for her .",,
['horse brought castle'],"He wrapped her up in his cloak , placed her before him on his horse , and brought her to his castle .",,
['rich clothes beauty'],"There he had her dressed in rich clothes , and her beauty shone out as bright as day , but not a word could be drawn from her .",,
['said marry maiden'],"He set her at table by his side , and her modest ways and behaviour pleased him so much that he said , ' I will marry this maiden and none other in the world , ' and after some days he married her .",,
['wicked mother displeased'],"But the King had a wicked mother who was displeased with the marriage , and said wicked things of the young Queen .",,
['speak worthy king'],"` Who knows who this girl is ? 'she said ; ` she can not speak , and is not worthy of a king . '",,
['mother took away'],"After a year , when the Queen had her first child , the old mother took it away from her .",,
['said queen killed'],Then she went to the King and said that the Queen had killed it .,,
['king believe allow'],"The King would not believe it , and would not allow any harm to be done her .",,
['quietly sewing shirts'],But she sat quietly sewing at the shirts and troubling herself about nothing .,,
['child wicked mother'],"The next time she had a child the wicked mother did the same thing , but the King could not make up his mind to believe her .",,
['said sweet good'],"He said , ` She is too sweet and good to do such a thing as that .",,
['defend innocence proved'],"If she were not dumb and could defend herself , her innocence would be proved . '",,
['law decreed burnt'],"But when the third child was taken away , and the Queen was again accused , and could not utter a word in her own defence , the King was obliged to give her over to the law , which decreed that she must be burnt to death .",,
['brothers power enchantment'],"When the day came on which the sentence was to be executed , it was the last day of the six years in which she must not speak or laugh , and now she had freed her dear brothers from the power of the enchantment .",,
['left sleeve wanting'],The six shirts were done ; there was only the left sleeve wanting to the last .,,
['saw swans flying'],"When she was led to the stake , she laid the shirts on her arm , and as she stood on the pile and the fire was about to be lighted , she looked around her and saw six swans flying through the air .",,
['heart danced joy'],Then she knew that her release was at hand and her heart danced for joy .,,
['swans fluttered round'],"The swans fluttered round her , and hovered low so that she could throw the shirts over them .",,
['touched swan skins'],"When they had touched them the swan-skins fell off , and her brothers stood before her living , well and beautiful .",,
['youngest swan wing'],Only the youngest had a swan 's wing instead of his left arm .,,
['saying dearest husband'],"They embraced and kissed each other , and the Queen went to the King , who was standing by in great astonishment , and began to speak to him , saying , ` Dearest husband , now I can speak and tell you openly that I am innocent and have been falsely accused . '",,
['woman deceit taken'],"She told him of the old woman 's deceit , and how she had taken the three children away and hidden them .",,
['joy king wicked'],"Then they were fetched , to the great joy of the King , and the wicked mother came to no good end .",,
['years happiness peace'],But the King and the Queen with their six brothers lived many years in happiness and peace .,,
['monster destructive feared'],"Very long ago , as old people have told me , there lived a terrible monster , who came out of the North , and laid waste whole tracts of country , devouring both men and beasts ; and this monster was so destructive that it was feared that unless help came no living creature would be left on the face of the earth .",,
['legs like frog'],"It had a body like an ox , and legs like a frog , two short fore-legs , and two long ones behind , and besides that it had a tail like a serpent , ten fathoms in length .",,
['jumped like frog'],"When it moved it jumped like a frog , and with every spring it covered half a mile of ground .",,
['till neighbourhood eaten'],"Fortunately its habit , was to remain for several years in the same place , and not to move on till the whole neighbourhood was eaten up .",,
['metal great eyes'],"Nothing could hunt it , because its whole body was covered with scales , which were harder than stone or metal ; its two great eyes shone by night , and even by day , like the brightest lamps , and anyone who had the ill luck to look into those eyes became as it were bewitched , and was obliged to rush of his own accord into the monster 's jaws .",,
['dragon able feed'],"In this way the Dragon was able to feed upon both men and beasts without the least trouble to itself , as it needed not to move from the spot where it was lying .",,
['monster force enchantment'],"All the neighbouring kings had offered rich rewards to anyone who should be able to destroy the monster , either by force or enchantment , and many had tried their luck , but all had miserably failed .",,
['great forest dragon'],"Once a great forest in which the Dragon lay had been set on fire ; the forest was burnt down , but the fire did not do the monster the least harm .",,
['men country dragon'],"However , there was a tradition amongst the wise men of the country that the Dragon might be overcome by one who possessed King Solomon 's signet-ring , upon which a secret writing was engraved .",,
['wise interpret dragon'],This inscription would enable anyone who was wise enough to interpret it to find out how the Dragon could be destroyed .,,
['ring hidden sorcerer'],"Only no one knew where the ring was hidden , nor was there any sorcerer or learned man to be found who would be able to explain the inscription .",,
['courage set search'],"At last a young man , with a good heart and plenty of courage , set out to search for the ring .",,
['sunrising knew wisdom'],"He took his way towards the sunrising , because he knew that all the wisdom of old time comes from the East .",,
['magician asked advice'],"After some years he met with a famous Eastern magician , and asked for his advice in the matter .",,
['magician answered mortal'],"The magician answered : ` Mortal men have but little wisdom , and can give you no help , but the birds of the air would be better guides to you if you could learn their language .",,
['help understand stay'],I can help you to understand it if you will stay with me a few days . ',,
['thankfully accepted magician'],"The youth thankfully accepted the magician 's offer , and said , ' I can not now offer you any reward for your kindness , but should my undertaking succeed your trouble shall be richly repaid . '",,
['magician brewed powerful'],"Then the magician brewed a powerful potion out of nine sorts of herbs which he had gathered himself all alone by moonlight , and he gave the youth nine spoonfuls of it daily for three days , which made him able to understand the language of birds .",,
['parting magician said'],At parting the magician said to him .,,
['solomon ring possession'],"` If you ever find Solomon 's ring and get possession of it , then come back to me , that I may explain the inscription on the ring to you , for there is no one else in the world who can do this . '",,
['understood language birds'],"From that time the youth never felt lonely as he walked along ; he always had company , because he understood the language of birds ; and in this way he learned many things which mere human knowledge could never have taught him .",,
['went heard ring'],"But time went on , and he heard nothing about the ring .",,
['forest eat supper'],"It happened one evening , when he was hot and tired with walking , and had sat down under a tree in a forest to eat his supper , that he saw two gaily-plumaged birds , that were strange to him , sitting at the top of the tree talking to one another about him .",,
['wandering fool tree'],"The first bird said : ' I know that wandering fool under the tree there , who has come so far without finding what he seeks .",,
['trying king solomon'],He is trying to find King Solomon 's lost ring . ',,
['bird answered seek'],"The other bird answered , ` He will have to seek help from the Witch-maiden , -LRB- 3 -RRB- who will doubtless be able to put him on the right track .",,
['got ring knows'],"If she has not got the ring herself , she knows well enough who has it . '",,
['maiden said bird'],` But where is he to find the Witch-maiden ? 'said the first bird .,,
['day gone morrow'],"` She has no settled dwelling , but is here to-day and gone to-morrow .",,
['try catch wind'],He might as well try to catch the wind . ',,
['spring wash face'],"The other replied , ' I do not know , certainly , where she is at present , but in three nights from now she will come to the spring to wash her face , as she does every month when the moon is full , in order that she may never grow old nor wrinkled , but may always keep the bloom of youth . '",,
['said bird spring'],"` Well , ' said the first bird , ` the spring is not far from here .",,
['willingly like said'],"` Willingly , if you like , ' said the other .",,
['spring things uneasy'],"The youth immediately resolved to follow the birds to the spring , only two things made him uneasy : first , lest he might be asleep when the birds went , and secondly , lest he might lose sight of them , since he had not wings to carry him along so swiftly .",,
['feathered companions asleep'],"He was too tired to keep awake all night , yet his anxiety prevented him from sleeping soundly , and when with the earliest dawn he looked up to the tree-top , he was glad to see his feathered companions still asleep with their heads under their wings .",,
['breakfast waited birds'],"He ate his breakfast , and waited until the birds should start , but they did not leave the place all day .",,
['old perch sleep'],"They hopped about from one tree to another looking for food , all day long until the evening , when they went back to their old perch to sleep .",,
['witch maiden wash'],"The next day the same thing happened , but on the third morning one bird said to the other , ` To-day we must go to the spring to see the Witch-maiden wash her face . '",,
['noon flew away'],They remained on the tree till noon ; then they flew away and went towards the south .,,
['anxiety lest lose'],"The young man 's heart beat with anxiety lest he should lose sight of his guides , but he managed to keep the birds in view until they again perched upon a tree .",,
['exhausted breath short'],"The young man ran after them until he was quite exhausted and out of breath , and after three short rests the birds at length reached a small open space in the forest , on the edge of which they placed themselves on the top of a high tree .",,
['youth overtaken saw'],"When the youth had overtaken them , he saw that there was a clear spring in the middle of the space .",,
['perched listened attentively'],"He sat down at the foot of the tree upon which the birds were perched , and listened attentively to what they were saying to each other .",,
['till moon rises'],"` The sun is not down yet , ' said the first bird ; ` we must wait yet awhile till the moon rises and the maiden comes to the spring .",,
['man sitting tree'],Do you think she will see that young man sitting under the tree ? ',,
['man said bird'],"` Nothing is likely to escape her eyes , certainly not a young man , said the other bird .",,
['youth sense let'],` Will the youth have the sense not to let himself be caught in her toils ? ',,
['wait said bird'],"` We will wait , ' said the first bird , ` and see how they get on together . '",,
['moon shining forest'],"The evening light had quite faded , and the full moon was already shining down upon the forest , when the young man heard a slight rustling sound .",,
